event,where,what,who,title,link,when,invited
Annual Meeting of the Botanical Society of America,"at Rochester, MN",Poster,"\textbf{Delaney, Lucy E}, Ramanauskas, K., \& Igi\'c, B. ",Breeding Systems in the Legumes,https://ledelaney.github.io/publication/fabaceae-poster/,2018,0
microMORPH Summer Course,"at Arnold Arboretum, Harvard",Talk,"\textbf{Delaney, Lucy E}",Evolutionary Consequences of Plant Mating Systems,,2017,0
